organismo,tipo,numero,anio,titulo,version_to,url_oficial,archivo,sha256,fecha_descarga,nivel_verificacion,capturado_por,observaciones
FACPCE,RT,54,2022,"Normas Contables Profesionales: Norma Unificada Argentina de Contabilidad",texto original,https://www.facpce.org.ar/wp-content/uploads/2022/07/RT54.pdf,FACPCE_RT_54_2022.pdf,8e44476a7b2ff26664f59487e7369091e8cab32f3bf60380591a471bd84feac9,2026-08-24,V1,fase-1,"Art. 2: vigencia ejercicios iniciados desde 2024-01-01; anticipada desde 2023-01-01. Art. 3: lista completa de derogaciones. Aprobada en Corrientes 2022-07-01"
FACPCE,RT,56,2023,"Modificaciones a la RT 54. Norma Unificada Argentina de Contabilidad",T.O. de RT 54,https://www.facpce.org.ar/wp-content/uploads/2023/07/Resolucion-Tecnica-N-56.pdf,FACPCE_RT_56_2023.pdf,6ec256b0ba7236fa689b2c0ab80ce52fa0abded779d786a439d1db3ad21e9d56,2026-08-24,V1,fase-1,"Aprobada 2023-06-30. Incorpora Titulo Segundo, Tercero y Apendice A (normas de transicion)"
FACPCE,RT,59,2024,"NUA. Aclaraciones previas a la implementacion de la RT 54",T.O. de RT 54 (T.O. RT 56),https://www.facpce.org.ar/wp-content/uploads/2024/07/Resolucion-Tecnica-N%C2%B0-59-TO-RT-54-NUA.pdf,FACPCE_RT_59_2024_TO_RT_54_NUA.pdf,9e3564a99bb8ad0fa637abe356c6da03036540fdf7fbf755ca20beba9955c089,2026-08-24,V1,fase-1,"Aprobada 2024-06-28. Art. 2 reemplaza indice y segunda parte. Art. 4 sustituye punto 7 de la RT 26 (transicion desde NIIF via Apendice A)"
FACPCE,RT,62,2025,"Capitulo 12: Estados contables de entidades cooperativas. Cuestiones especificas",modificatoria de RT 54,https://www.facpce.org.ar/wp-content/uploads/2025/12/RT-62-Capiitulo_12_NUA_Cooperativas-1.pdf,FACPCE_RT_62_2025_cap12_cooperativas.pdf,0948e75b047586bc80a49d830731354e0925fb8b4dc97f49412ae6124a2a8b8d,2026-08-24,V1,fase-1,"Incorpora requerimientos de la RT 24 al nuevo Capitulo 12"
FACPCE,RES_JG,660,2026,"Dispensa transitoria para la primera aplicacion de la RT 54",,https://www.facpce.org.ar/wp-content/uploads/2026/03/Resolucion-JG-N-660-26-Dispensa-transitoria.pdf,FACPCE_RES_JG_660_2026_dispensa_transitoria.pdf,b1249569fce5a10d930457087bdc75e4e73aff46f3fd1d1738ec4f5277bee7d9,2026-08-24,V1,fase-1,"Aprobada 2026-03-27. No posterga la vigencia de la RT 54. Exige revelacion en nota"
FACPCE,PARAMETRO,,2025,"Montos de los ingresos incluidos en el alcance de la RT 54. Actualizacion 2025-11",,https://www.facpce.org.ar/wp-content/uploads/2025/12/Indice-y-actualizacion-ingresos-RT54-2025-11.pdf,FACPCE_RT_54_ingresos_actualizacion_2025-11.pdf,abee5cb9b559dae94b8273c2df4978b0b01503c3ed273076bc63ef4c05c1253b,2026-08-24,V1,fase-1,"Parametro versionado: define categoria de ente. Se actualiza periodicamente"
FACPCE,PROYECTO,52,2024,"Aclaraciones previas a la implementacion de la RT 54 (T.O. RT 56)",,https://www.facpce.org.ar/wp-content/uploads/2024/03/P-N52-RT-Aclaraciones-previas-RT-54-TO-RT-56-cc.pdf,FACPCE_P52_aclaraciones_RT_54_TO_RT_56.pdf,a55b5132d3a98f90280f099e45a5e824441bbf0e54fa8431cdc6715d00533f12,2026-08-24,V1,fase-1,"Jerarquia P4: material oficial explicativo. Antecedente de la RT 59"
CPCE_CABA,PUBLICACION,,2024,"Resolucion Tecnica N 54 (T.O.) publicada por el CPCECABA",,https://www.consejo.org.ar/storage/attachments/RT%2054%20-(TO).pdf-5Y0IC9D53o.pdf,CPCECABA_RT_54_TO.pdf,8749149836e5d9b28c3cec500a2fec83f5f29deecd898d45df94e2a74190e909,2026-08-24,V1,fase-1,"Version del consejo de la jurisdiccion CABA"
CPCE_CABA,GUIA,,2025,"Guia de preguntas y respuestas sobre la RT 54 (T.O. RT 59 y modificatorias)",,https://www.consejo.org.ar/storage/attachments/GUIA%20DE%20PREGUNTAS%20Y%20RESPUESTAS.pdf-Er92AK1Btg.pdf,CPCECABA_guia_preguntas_respuestas_RT_54.pdf,b0f1969436243455fd4c9ee243e32f3859b3222f7108a80677958a0c0c0fe4ea,2026-08-24,V1,fase-1,"Jerarquia P4. Vigencia CABA: ejercicios iniciados desde 2025-01-01; anticipada para ejercicios finalizados desde 2024-09-30"
ARCA,RG,5616,2024,"Procedimiento. Regimenes de emision de comprobantes. Modificatoria de RG 1415, 3561, 4291 y 5198",,https://servicios.infoleg.gob.ar/infolegInternet/anexos/405000-409999/407369/norma.htm,INFOLEG_ARCA_RG_5616_2024.htm,8124ad53bce9e3633e5a10533b4e099d2d67a3a925fd755779009848f8263676,2026-08-24,V1,fase-1,"Emitida 2024-12-17, publicada 2024-12-18. Art. 5: vigencia el dia de publicacion; nueva version de WebService de uso obligatorio desde 2025-04-15. RESUELVE C-01"
ARCA,RG,5707,2025,"Procedimiento. Portal IVA. Registracion electronica. Libro de IVA Digital. IVA Simplificado. Modificatoria de RG 4597",,https://servicios.infoleg.gob.ar/infolegInternet/anexos/410000-414999/413495/norma.htm,INFOLEG_ARCA_RG_5707_2025.htm,dc1c677c4b87dd633093695d4d66b5527379a02065b842d97a9be6892491749e,2026-08-24,V1,fase-1,"Emitida 2025-05-30, publicada 2025-06-02. Art. 2: vigencia 2025-12-01, salvo derogacion del Titulo II desde 2025-07-01. Art. 12 sustituido: presentacion dentro de los 15 dias corridos del mes siguiente; novedad SIN MOVIMIENTO; secuencialidad obligatoria"
AFIP,RG,4597,2019,"Libro de IVA Digital. Regimen de registracion electronica de operaciones",texto actualizado,https://servicios.infoleg.gob.ar/infolegInternet/anexos/325000-329999/329339/texact.htm,INFOLEG_AFIP_RG_4597_2019_texto_actualizado.htm,7bc8cb3a6da48d293bd410c5c2cfabdf988c56b11e5256470eb706b3c9bcc5ee,2026-08-24,V1,fase-1,"Norma base del Libro de IVA Digital. Desbloquea FASE 8"
ARCA,RG,5866,2026,"Procedimiento. Regimen de emision de comprobantes. Modifica RG 1415 y 4291. Deroga RG 2668, 2719 y 5824",,https://servicios.infoleg.gob.ar/infolegInternet/anexos/425000-429999/427092/norma.htm,INFOLEG_ARCA_RG_5866_2026.htm,ffd2a5759e22b5e79e44cfdd7a35fb8c4fd4c8f9a8cd71ba4a1bf9a1ad0a0307,2026-08-24,V1,fase-1,"Publicada 2026-06-29. Vigencia 2026-07-01 con excepciones desde 2026-10-01. Cronograma escalonado de nuevos obligados hasta 2027-03-01. Explica el hito de septiembre 2026 de C-01"
IGJ,RG,15,2024,"Normas de la Inspeccion General de Justicia",texto actualizado,https://servicios.infoleg.gob.ar/infolegInternet/anexos/400000-404999/401548/texact.htm,INFOLEG_IGJ_RG_15_2024_texto_actualizado.htm,3fb004ecdd741b5611d08b0dbe1fff06c117874c2265d4e0f30cbc916d25c1aa,2026-08-24,V1,fase-1,"Cuerpo normativo base (Anexo A). Modificado por RG 9/2026"
IGJ,RG,9,2026,"Reforma del regimen de presentacion de estados contables",,https://servicios.infoleg.gob.ar/infolegInternet/anexos/425000-429999/427313/norma.htm,INFOLEG_IGJ_RG_9_2026.htm,6878b4a3781d037f30adc5c9000b8833132d7380e9d6bb3d0a6ec0e8ecfa4796,2026-08-24,V1,fase-1,"Emitida 2026-07-01, publicada 2026-07-02. 12 articulos. Art. 11: vigencia dia siguiente a publicacion. Art. 226 sustituido remite a las RT adoptadas por el CPCECABA. CONFIRMA C-02"
