archivo,fecha_emision,fecha_publicacion,fecha_vigencia,ancla_vigencia,articulo_fuente,nota
FACPCE_RT_54_2022.pdf,2022-07-01,,2024-01-01,INICIO_EJERCICIO,Art. 2°,"Vigencia del TEXTO ORIGINAL. La RT 56 la desplazó a ejercicios iniciados desde 2024-07-01 y el CPCECABA la adoptó desde 2025-01-01: esas son versiones y adopciones distintas, no están cargadas como tales"
FACPCE_RT_56_2023.pdf,2023-06-30,,,,,"Aprobada 2023-06-30. Modifica la RT 54. No declara vigencia propia relevada"
FACPCE_RT_59_2024_TO_RT_54_NUA.pdf,2024-06-28,,,,,"Aprobada 2024-06-28. T.O. de la RT 54"
FACPCE_RES_JG_660_2026_dispensa_transitoria.pdf,2026-03-27,,,,,"Aprobada 2026-03-27. Dispensa de presentación; NO posterga la vigencia de la RT 54"
INFOLEG_ARCA_RG_5616_2024.htm,2024-12-17,2024-12-18,2024-12-18,FECHA_HECHO,Art. 5°,"Vigencia el día de su publicación. El WebService pasa a obligatorio el 2025-04-15"
INFOLEG_ARCA_RG_5707_2025.htm,2025-05-30,2025-06-02,2025-12-01,FECHA_HECHO,Art. 2°,"Vigencia 2025-12-01, salvo la derogación del Título II que rige desde 2025-07-01"
INFOLEG_IGJ_RG_9_2026.htm,2026-07-01,2026-07-02,2026-07-03,FECHA_HECHO,Art. 11,"Vigencia el día siguiente al de su publicación"
SAIJ_CCyC_Ley_26994.pdf,2014-10-01,2014-10-08,2015-08-01,FECHA_HECHO,Art. 7° de la Ley 26.994,"Sancion 2014-10-01, promulgacion por decreto 1795/2014 del 2014-10-07, publicacion 2014-10-08. El art. 7 original decia 2016-01-01; el texto archivado ya trae la sustitucion por art. 1 de la ley 27.077 (BO 19/12/2014) y la nota al pie que la cita. Los arts. 320 a 331 (Contabilidad y estados contables) no registran modificaciones en esta edicion"
INFOLEG_AFIP_RG_4597_2019_texto_actualizado.htm,2019-09-30,2019-10-01,2019-10-01,FECHA_HECHO,Art. 25,"Emitida en CABA el 2019-09-30 (encabezado), publicada 2019-10-01 (pie: e. 01/10/2019 N 74350/19). Art. 25: vigencia desde 2019-10-01 con cronograma escalonado por grupo de contribuyentes. ATENCION: el archivo es TEXTO ACTUALIZADO. Su art. 2 lo sustituyo la RG 5707/2025 con vigencia 2025-12-01; los textos anteriores (RG 5133/2021, 4925/2021, 4796/2020, 4671/2020) figuran en Antecedentes Normativos pero NO estan transcriptos. Para periodos anteriores a 2025-12-01 el sistema responde OBLIGACION_NO_DETERMINABLE"
INFOLEG_LEY_IVA_23349_TO_1997_texto_actualizado.htm,1997-03-26,1997-04-15,,,Encabezado "Bs. As., 26/3/97" del Decreto 280/97,"Emision del decreto que aprueba el T.O., leida en el encabezado del propio documento archivado; publicacion tomada de la ficha oficial INFOLEG_PEN_DECRETO_280_1997_ficha.htm. SIN fecha_vigencia a proposito: el art. 2 del Decreto 280/97 dice que las disposiciones tendran la vigencia que en cada caso indican las normas que las conforman, asi que el T.O. no tiene una vigencia unica. Las alicuotas del art. 28 se cargan por ventana, no por esta fecha"
INFOLEG_PEN_DECRETO_280_1997_ficha.htm,1997-03-26,1997-04-15,,,Ficha oficial de InfoLeg,"Ficha, no texto. 26-mar-1997; B.O. 15-abr-1997, numero 28626, pagina 5"
INFOLEG_PEN_DECRETO_841_1984_ficha.htm,1984-03-20,1984-03-30,,,Ficha oficial de InfoLeg,"Ficha, no texto. 20-mar-1984; B.O. 30-mar-1984, numero 25397, pagina 2"
INFOLEG_LGS_19550_texto_actualizado.htm,1984-03-20,1984-03-30,,,Anexo del Decreto 841/84,"La fecha de emision es la del Decreto 841/84 que aprobo el T.O., verificada en la ficha oficial INFOLEG_PEN_DECRETO_841_1984_ficha.htm (20-mar-1984). El texto actualizado por si solo unicamente declaraba la publicacion (30-mar-1984), y por eso hasta ahora la norma no se sembraba y statement_templates quedaba vacia. SIN fecha_vigencia: el T.O. de 1984 acumula modificaciones posteriores y el documento no declara una vigencia unica"
CPCECABA_RES_P_460_2024_adopcion_RT_54.pdf,2024-07-11,,2025-01-01,INICIO_EJERCICIO,Art. 5° inc. a),"Firmada en CABA el 11 de julio de 2024. Art. 5 inc. b): aplicacion anticipada admitida para ejercicios FINALIZADOS desde 2024-09-30 - eso se carga en norm_adoptions.early_from con early_anchor CIERRE_EJERCICIO, no aca. Las resoluciones del Consejo no se publican en el Boletin Oficial: fecha_publicacion vacia a proposito"
INFOLEG_AFIP_RG_4892_2020_ficha.htm,2020-12-22,2020-12-24,,,Ficha oficial de InfoLeg,"Ficha, no texto. 22-dic-2020; B.O. 24-dic-2020, numero 34548, pagina 55. Sin fecha_vigencia: el articulado no esta archivado, y la vigencia sale de el"
INFOLEG_AFIP_RG_1415_2003_texto_actualizado.htm,2003-01-07,2003-01-13,,,"Encabezado ""Bs. As., 7/1/2003"" y ficha oficial de InfoLeg","Emision del encabezado del propio documento; publicacion de la ficha (B.O. 13-ene-2003, numero 30066, pagina 1, suplemento). SIN fecha_vigencia: es un texto unificado y ordenado con decenas de sustituciones posteriores, cada una con su propia vigencia — poner una sola seria elegir cual. Las que importan para la letra del comprobante: RG 5003/2021 sustituyo el art. 15 inc. a) con vigencia 2021-07-01, y la RG 5198/2022 sustituyo el art. 16 con vigencia 2022-06-01"
INFOLEG_AFIP_RG_4291_2018_texto_actualizado.htm,2018-08-02,2018-08-03,,,"Encabezado ""Ciudad de Buenos Aires, 02/08/2018"" y pie e. 03/08/2018","SIN fecha_vigencia: el texto archivado es actualizado y acumula modificatorias con vigencias propias"
